#SampleID	Subject	Treatment	Timepoint
#q2:types	categorical	categorical	numeric
destabilizing_treatment_0_t1	destabilizing_treatment_0	destabilizing_treatment	1
destabilizing_treatment_0_t2	destabilizing_treatment_0	destabilizing_treatment	2
destabilizing_treatment_0_t3	destabilizing_treatment_0	destabilizing_treatment	3
destabilizing_treatment_0_t4	destabilizing_treatment_0	destabilizing_treatment	4
destabilizing_treatment_0_t5	destabilizing_treatment_0	destabilizing_treatment	5
destabilizing_treatment_0_t6	destabilizing_treatment_0	destabilizing_treatment	6
destabilizing_treatment_0_t7	destabilizing_treatment_0	destabilizing_treatment	7
destabilizing_treatment_0_t8	destabilizing_treatment_0	destabilizing_treatment	8
destabilizing_treatment_0_t9	destabilizing_treatment_0	destabilizing_treatment	9
destabilizing_treatment_1_t0	destabilizing_treatment_1	destabilizing_treatment	0
destabilizing_treatment_1_t1	destabilizing_treatment_1	destabilizing_treatment	1
destabilizing_treatment_1_t2	destabilizing_treatment_1	destabilizing_treatment	2
destabilizing_treatment_1_t3	destabilizing_treatment_1	destabilizing_treatment	3
destabilizing_treatment_1_t4	destabilizing_treatment_1	destabilizing_treatment	4
destabilizing_treatment_1_t5	destabilizing_treatment_1	destabilizing_treatment	5
destabilizing_treatment_1_t6	destabilizing_treatment_1	destabilizing_treatment	6
destabilizing_treatment_1_t7	destabilizing_treatment_1	destabilizing_treatment	7
destabilizing_treatment_1_t8	destabilizing_treatment_1	destabilizing_treatment	8
destabilizing_treatment_1_t9	destabilizing_treatment_1	destabilizing_treatment	9
destabilizing_treatment_2_t0	destabilizing_treatment_2	destabilizing_treatment	0
destabilizing_treatment_2_t1	destabilizing_treatment_2	destabilizing_treatment	1
destabilizing_treatment_2_t2	destabilizing_treatment_2	destabilizing_treatment	2
destabilizing_treatment_2_t3	destabilizing_treatment_2	destabilizing_treatment	3
destabilizing_treatment_2_t4	destabilizing_treatment_2	destabilizing_treatment	4
destabilizing_treatment_2_t5	destabilizing_treatment_2	destabilizing_treatment	5
destabilizing_treatment_2_t6	destabilizing_treatment_2	destabilizing_treatment	6
destabilizing_treatment_2_t7	destabilizing_treatment_2	destabilizing_treatment	7
destabilizing_treatment_2_t8	destabilizing_treatment_2	destabilizing_treatment	8
destabilizing_treatment_2_t9	destabilizing_treatment_2	destabilizing_treatment	9
destabilizing_treatment_3_t0	destabilizing_treatment_3	destabilizing_treatment	0
destabilizing_treatment_3_t1	destabilizing_treatment_3	destabilizing_treatment	1
destabilizing_treatment_3_t2	destabilizing_treatment_3	destabilizing_treatment	2
destabilizing_treatment_3_t3	destabilizing_treatment_3	destabilizing_treatment	3
destabilizing_treatment_3_t4	destabilizing_treatment_3	destabilizing_treatment	4
destabilizing_treatment_3_t5	destabilizing_treatment_3	destabilizing_treatment	5
destabilizing_treatment_3_t6	destabilizing_treatment_3	destabilizing_treatment	6
destabilizing_treatment_3_t7	destabilizing_treatment_3	destabilizing_treatment	7
destabilizing_treatment_3_t8	destabilizing_treatment_3	destabilizing_treatment	8
destabilizing_treatment_3_t9	destabilizing_treatment_3	destabilizing_treatment	9
destabilizing_treatment_4_t0	destabilizing_treatment_4	destabilizing_treatment	0
destabilizing_treatment_4_t1	destabilizing_treatment_4	destabilizing_treatment	1
destabilizing_treatment_4_t2	destabilizing_treatment_4	destabilizing_treatment	2
destabilizing_treatment_4_t3	destabilizing_treatment_4	destabilizing_treatment	3
destabilizing_treatment_4_t4	destabilizing_treatment_4	destabilizing_treatment	4
destabilizing_treatment_4_t5	destabilizing_treatment_4	destabilizing_treatment	5
destabilizing_treatment_4_t6	destabilizing_treatment_4	destabilizing_treatment	6
destabilizing_treatment_4_t7	destabilizing_treatment_4	destabilizing_treatment	7
destabilizing_treatment_4_t8	destabilizing_treatment_4	destabilizing_treatment	8
destabilizing_treatment_4_t9	destabilizing_treatment_4	destabilizing_treatment	9
destabilizing_treatment_5_t0	destabilizing_treatment_5	destabilizing_treatment	0
destabilizing_treatment_5_t1	destabilizing_treatment_5	destabilizing_treatment	1
destabilizing_treatment_5_t2	destabilizing_treatment_5	destabilizing_treatment	2
destabilizing_treatment_5_t3	destabilizing_treatment_5	destabilizing_treatment	3
destabilizing_treatment_5_t4	destabilizing_treatment_5	destabilizing_treatment	4
destabilizing_treatment_5_t5	destabilizing_treatment_5	destabilizing_treatment	5
destabilizing_treatment_5_t6	destabilizing_treatment_5	destabilizing_treatment	6
destabilizing_treatment_5_t7	destabilizing_treatment_5	destabilizing_treatment	7
destabilizing_treatment_5_t8	destabilizing_treatment_5	destabilizing_treatment	8
destabilizing_treatment_5_t9	destabilizing_treatment_5	destabilizing_treatment	9
destabilizing_treatment_6_t0	destabilizing_treatment_6	destabilizing_treatment	0
destabilizing_treatment_6_t1	destabilizing_treatment_6	destabilizing_treatment	1
destabilizing_treatment_6_t2	destabilizing_treatment_6	destabilizing_treatment	2
destabilizing_treatment_6_t3	destabilizing_treatment_6	destabilizing_treatment	3
destabilizing_treatment_6_t4	destabilizing_treatment_6	destabilizing_treatment	4
destabilizing_treatment_6_t5	destabilizing_treatment_6	destabilizing_treatment	5
destabilizing_treatment_6_t6	destabilizing_treatment_6	destabilizing_treatment	6
destabilizing_treatment_6_t7	destabilizing_treatment_6	destabilizing_treatment	7
destabilizing_treatment_6_t8	destabilizing_treatment_6	destabilizing_treatment	8
destabilizing_treatment_6_t9	destabilizing_treatment_6	destabilizing_treatment	9
destabilizing_treatment_7_t0	destabilizing_treatment_7	destabilizing_treatment	0
destabilizing_treatment_7_t1	destabilizing_treatment_7	destabilizing_treatment	1
destabilizing_treatment_7_t2	destabilizing_treatment_7	destabilizing_treatment	2
destabilizing_treatment_7_t3	destabilizing_treatment_7	destabilizing_treatment	3
destabilizing_treatment_7_t4	destabilizing_treatment_7	destabilizing_treatment	4
destabilizing_treatment_7_t5	destabilizing_treatment_7	destabilizing_treatment	5
destabilizing_treatment_7_t6	destabilizing_treatment_7	destabilizing_treatment	6
destabilizing_treatment_7_t7	destabilizing_treatment_7	destabilizing_treatment	7
destabilizing_treatment_7_t8	destabilizing_treatment_7	destabilizing_treatment	8
destabilizing_treatment_7_t9	destabilizing_treatment_7	destabilizing_treatment	9
destabilizing_treatment_8_t0	destabilizing_treatment_8	destabilizing_treatment	0
destabilizing_treatment_8_t1	destabilizing_treatment_8	destabilizing_treatment	1
destabilizing_treatment_8_t2	destabilizing_treatment_8	destabilizing_treatment	2
destabilizing_treatment_8_t3	destabilizing_treatment_8	destabilizing_treatment	3
destabilizing_treatment_8_t4	destabilizing_treatment_8	destabilizing_treatment	4
destabilizing_treatment_8_t5	destabilizing_treatment_8	destabilizing_treatment	5
destabilizing_treatment_8_t6	destabilizing_treatment_8	destabilizing_treatment	6
destabilizing_treatment_8_t7	destabilizing_treatment_8	destabilizing_treatment	7
destabilizing_treatment_8_t8	destabilizing_treatment_8	destabilizing_treatment	8
destabilizing_treatment_8_t9	destabilizing_treatment_8	destabilizing_treatment	9
destabilizing_treatment_9_t0	destabilizing_treatment_9	destabilizing_treatment	0
destabilizing_treatment_9_t1	destabilizing_treatment_9	destabilizing_treatment	1
destabilizing_treatment_9_t2	destabilizing_treatment_9	destabilizing_treatment	2
destabilizing_treatment_9_t3	destabilizing_treatment_9	destabilizing_treatment	3
destabilizing_treatment_9_t4	destabilizing_treatment_9	destabilizing_treatment	4
destabilizing_treatment_9_t5	destabilizing_treatment_9	destabilizing_treatment	5
destabilizing_treatment_9_t6	destabilizing_treatment_9	destabilizing_treatment	6
destabilizing_treatment_9_t7	destabilizing_treatment_9	destabilizing_treatment	7
destabilizing_treatment_9_t8	destabilizing_treatment_9	destabilizing_treatment	8
destabilizing_treatment_9_t9	destabilizing_treatment_9	destabilizing_treatment	9
destabilizing_treatment_10_t0	destabilizing_treatment_10	destabilizing_treatment	0
destabilizing_treatment_10_t1	destabilizing_treatment_10	destabilizing_treatment	1
destabilizing_treatment_10_t2	destabilizing_treatment_10	destabilizing_treatment	2
destabilizing_treatment_10_t3	destabilizing_treatment_10	destabilizing_treatment	3
destabilizing_treatment_10_t4	destabilizing_treatment_10	destabilizing_treatment	4
destabilizing_treatment_10_t5	destabilizing_treatment_10	destabilizing_treatment	5
destabilizing_treatment_10_t6	destabilizing_treatment_10	destabilizing_treatment	6
destabilizing_treatment_10_t7	destabilizing_treatment_10	destabilizing_treatment	7
destabilizing_treatment_10_t8	destabilizing_treatment_10	destabilizing_treatment	8
destabilizing_treatment_10_t9	destabilizing_treatment_10	destabilizing_treatment	9
destabilizing_treatment_11_t0	destabilizing_treatment_11	destabilizing_treatment	0
destabilizing_treatment_11_t1	destabilizing_treatment_11	destabilizing_treatment	1
destabilizing_treatment_11_t2	destabilizing_treatment_11	destabilizing_treatment	2
destabilizing_treatment_11_t3	destabilizing_treatment_11	destabilizing_treatment	3
destabilizing_treatment_11_t4	destabilizing_treatment_11	destabilizing_treatment	4
destabilizing_treatment_11_t5	destabilizing_treatment_11	destabilizing_treatment	5
destabilizing_treatment_11_t6	destabilizing_treatment_11	destabilizing_treatment	6
destabilizing_treatment_11_t7	destabilizing_treatment_11	destabilizing_treatment	7
destabilizing_treatment_11_t8	destabilizing_treatment_11	destabilizing_treatment	8
destabilizing_treatment_11_t9	destabilizing_treatment_11	destabilizing_treatment	9
destabilizing_treatment_12_t0	destabilizing_treatment_12	destabilizing_treatment	0
destabilizing_treatment_12_t1	destabilizing_treatment_12	destabilizing_treatment	1
destabilizing_treatment_12_t2	destabilizing_treatment_12	destabilizing_treatment	2
destabilizing_treatment_12_t3	destabilizing_treatment_12	destabilizing_treatment	3
destabilizing_treatment_12_t4	destabilizing_treatment_12	destabilizing_treatment	4
destabilizing_treatment_12_t5	destabilizing_treatment_12	destabilizing_treatment	5
destabilizing_treatment_12_t6	destabilizing_treatment_12	destabilizing_treatment	6
destabilizing_treatment_12_t7	destabilizing_treatment_12	destabilizing_treatment	7
destabilizing_treatment_12_t8	destabilizing_treatment_12	destabilizing_treatment	8
destabilizing_treatment_12_t9	destabilizing_treatment_12	destabilizing_treatment	9
destabilizing_treatment_13_t0	destabilizing_treatment_13	destabilizing_treatment	0
destabilizing_treatment_13_t1	destabilizing_treatment_13	destabilizing_treatment	1
destabilizing_treatment_13_t2	destabilizing_treatment_13	destabilizing_treatment	2
destabilizing_treatment_13_t3	destabilizing_treatment_13	destabilizing_treatment	3
destabilizing_treatment_13_t4	destabilizing_treatment_13	destabilizing_treatment	4
destabilizing_treatment_13_t5	destabilizing_treatment_13	destabilizing_treatment	5
destabilizing_treatment_13_t6	destabilizing_treatment_13	destabilizing_treatment	6
destabilizing_treatment_13_t7	destabilizing_treatment_13	destabilizing_treatment	7
destabilizing_treatment_13_t8	destabilizing_treatment_13	destabilizing_treatment	8
destabilizing_treatment_13_t9	destabilizing_treatment_13	destabilizing_treatment	9
destabilizing_treatment_14_t0	destabilizing_treatment_14	destabilizing_treatment	0
destabilizing_treatment_14_t1	destabilizing_treatment_14	destabilizing_treatment	1
destabilizing_treatment_14_t2	destabilizing_treatment_14	destabilizing_treatment	2
destabilizing_treatment_14_t3	destabilizing_treatment_14	destabilizing_treatment	3
destabilizing_treatment_14_t4	destabilizing_treatment_14	destabilizing_treatment	4
destabilizing_treatment_14_t5	destabilizing_treatment_14	destabilizing_treatment	5
destabilizing_treatment_14_t6	destabilizing_treatment_14	destabilizing_treatment	6
destabilizing_treatment_14_t7	destabilizing_treatment_14	destabilizing_treatment	7
destabilizing_treatment_14_t8	destabilizing_treatment_14	destabilizing_treatment	8
destabilizing_treatment_14_t9	destabilizing_treatment_14	destabilizing_treatment	9
destabilizing_treatment_15_t0	destabilizing_treatment_15	destabilizing_treatment	0
destabilizing_treatment_15_t1	destabilizing_treatment_15	destabilizing_treatment	1
destabilizing_treatment_15_t2	destabilizing_treatment_15	destabilizing_treatment	2
destabilizing_treatment_15_t3	destabilizing_treatment_15	destabilizing_treatment	3
destabilizing_treatment_15_t4	destabilizing_treatment_15	destabilizing_treatment	4
destabilizing_treatment_15_t5	destabilizing_treatment_15	destabilizing_treatment	5
destabilizing_treatment_15_t6	destabilizing_treatment_15	destabilizing_treatment	6
destabilizing_treatment_15_t7	destabilizing_treatment_15	destabilizing_treatment	7
destabilizing_treatment_15_t8	destabilizing_treatment_15	destabilizing_treatment	8
destabilizing_treatment_15_t9	destabilizing_treatment_15	destabilizing_treatment	9
destabilizing_treatment_16_t0	destabilizing_treatment_16	destabilizing_treatment	0
destabilizing_treatment_16_t1	destabilizing_treatment_16	destabilizing_treatment	1
destabilizing_treatment_16_t2	destabilizing_treatment_16	destabilizing_treatment	2
destabilizing_treatment_16_t3	destabilizing_treatment_16	destabilizing_treatment	3
destabilizing_treatment_16_t4	destabilizing_treatment_16	destabilizing_treatment	4
destabilizing_treatment_16_t5	destabilizing_treatment_16	destabilizing_treatment	5
destabilizing_treatment_16_t6	destabilizing_treatment_16	destabilizing_treatment	6
destabilizing_treatment_16_t7	destabilizing_treatment_16	destabilizing_treatment	7
destabilizing_treatment_16_t8	destabilizing_treatment_16	destabilizing_treatment	8
destabilizing_treatment_16_t9	destabilizing_treatment_16	destabilizing_treatment	9
destabilizing_treatment_17_t0	destabilizing_treatment_17	destabilizing_treatment	0
destabilizing_treatment_17_t1	destabilizing_treatment_17	destabilizing_treatment	1
destabilizing_treatment_17_t2	destabilizing_treatment_17	destabilizing_treatment	2
destabilizing_treatment_17_t3	destabilizing_treatment_17	destabilizing_treatment	3
destabilizing_treatment_17_t4	destabilizing_treatment_17	destabilizing_treatment	4
destabilizing_treatment_17_t5	destabilizing_treatment_17	destabilizing_treatment	5
destabilizing_treatment_17_t6	destabilizing_treatment_17	destabilizing_treatment	6
destabilizing_treatment_17_t7	destabilizing_treatment_17	destabilizing_treatment	7
destabilizing_treatment_17_t8	destabilizing_treatment_17	destabilizing_treatment	8
destabilizing_treatment_17_t9	destabilizing_treatment_17	destabilizing_treatment	9
destabilizing_treatment_18_t0	destabilizing_treatment_18	destabilizing_treatment	0
destabilizing_treatment_18_t1	destabilizing_treatment_18	destabilizing_treatment	1
destabilizing_treatment_18_t2	destabilizing_treatment_18	destabilizing_treatment	2
destabilizing_treatment_18_t3	destabilizing_treatment_18	destabilizing_treatment	3
destabilizing_treatment_18_t4	destabilizing_treatment_18	destabilizing_treatment	4
destabilizing_treatment_18_t5	destabilizing_treatment_18	destabilizing_treatment	5
destabilizing_treatment_18_t6	destabilizing_treatment_18	destabilizing_treatment	6
destabilizing_treatment_18_t7	destabilizing_treatment_18	destabilizing_treatment	7
destabilizing_treatment_18_t8	destabilizing_treatment_18	destabilizing_treatment	8
destabilizing_treatment_18_t9	destabilizing_treatment_18	destabilizing_treatment	9
destabilizing_treatment_19_t0	destabilizing_treatment_19	destabilizing_treatment	0
destabilizing_treatment_19_t1	destabilizing_treatment_19	destabilizing_treatment	1
destabilizing_treatment_19_t2	destabilizing_treatment_19	destabilizing_treatment	2
destabilizing_treatment_19_t3	destabilizing_treatment_19	destabilizing_treatment	3
destabilizing_treatment_19_t4	destabilizing_treatment_19	destabilizing_treatment	4
destabilizing_treatment_19_t5	destabilizing_treatment_19	destabilizing_treatment	5
destabilizing_treatment_19_t6	destabilizing_treatment_19	destabilizing_treatment	6
destabilizing_treatment_19_t7	destabilizing_treatment_19	destabilizing_treatment	7
destabilizing_treatment_19_t8	destabilizing_treatment_19	destabilizing_treatment	8
destabilizing_treatment_19_t9	destabilizing_treatment_19	destabilizing_treatment	9
destabilizing_treatment_20_t0	destabilizing_treatment_20	destabilizing_treatment	0
destabilizing_treatment_20_t1	destabilizing_treatment_20	destabilizing_treatment	1
destabilizing_treatment_20_t2	destabilizing_treatment_20	destabilizing_treatment	2
destabilizing_treatment_20_t3	destabilizing_treatment_20	destabilizing_treatment	3
destabilizing_treatment_20_t4	destabilizing_treatment_20	destabilizing_treatment	4
destabilizing_treatment_20_t5	destabilizing_treatment_20	destabilizing_treatment	5
destabilizing_treatment_20_t6	destabilizing_treatment_20	destabilizing_treatment	6
destabilizing_treatment_20_t7	destabilizing_treatment_20	destabilizing_treatment	7
destabilizing_treatment_20_t8	destabilizing_treatment_20	destabilizing_treatment	8
destabilizing_treatment_20_t9	destabilizing_treatment_20	destabilizing_treatment	9
destabilizing_treatment_21_t0	destabilizing_treatment_21	destabilizing_treatment	0
destabilizing_treatment_21_t1	destabilizing_treatment_21	destabilizing_treatment	1
destabilizing_treatment_21_t2	destabilizing_treatment_21	destabilizing_treatment	2
destabilizing_treatment_21_t3	destabilizing_treatment_21	destabilizing_treatment	3
destabilizing_treatment_21_t4	destabilizing_treatment_21	destabilizing_treatment	4
destabilizing_treatment_21_t5	destabilizing_treatment_21	destabilizing_treatment	5
destabilizing_treatment_21_t6	destabilizing_treatment_21	destabilizing_treatment	6
destabilizing_treatment_21_t7	destabilizing_treatment_21	destabilizing_treatment	7
destabilizing_treatment_21_t8	destabilizing_treatment_21	destabilizing_treatment	8
destabilizing_treatment_21_t9	destabilizing_treatment_21	destabilizing_treatment	9
destabilizing_treatment_22_t0	destabilizing_treatment_22	destabilizing_treatment	0
destabilizing_treatment_22_t1	destabilizing_treatment_22	destabilizing_treatment	1
